ويليام بارنتز
جانيت جاكسون
اينزو فيراري
إدوارد مويبريدج
بروس سبرينغستين
هنري ماتيس
غيورغ تراكل
جان دي لافونتين
مارجريت آتوود
ألانيس موريسيت
جان-لوك غودار
إميلين بانكيرست
ديميتري مندلييف
لوسي مود مونتغمري
كليوباترا السابعة
حتشبسوت
بطليموس الثالث
بادن باول
ليف ياشين
لاري بايج
سيرجي برين
بودوان الأول ملك بلجيكا
دان كاستلانيتا
روبرت براونينغ
رود شتايغر
ألكيبيادس
فيلهلم كونراد رونتغن
سيلفستر ستالون
لويس بريل
مايكل كين
نسطور
برثلماوس الأول
جون ملنور
رينيه ثوم
ثيودوسيوس الثاني
يول براينر
ماكس بورن
لويس السابع عشر
روبرت ريدفورد
جون غريشام
دانيال ستيل
جيرترود شتاين
بيير أوجستن كارون دي بومارشيه
إيمري ناج
جورج سورا
سيمون دي بوفوار
إيرين جوليو-كوري
فيليب دوق إدنبرة
لويس الثامن عشر
نابليون الثاني
نيكولا بوسان
غور فيدال
جان بول مارا
لويس مايلستون
جيروم بونابرت
جون هالدين
شارل العاشر ملك فرنسا
جوزيف بونابرت
ميروفيوس
نابليون الثالث
جوزفين
يوجين دو بوارنيه
ماري لويز دوقة بارما
ميشيل فايفر
أبو بكر زين العابدين عبد الكلام
وارن بيتي
والتر ماثو
كلاوس فون شتاوفنبرج
أديوداتوس الأول
مارك (بابا)
سيمبليكوس
فليكس الثالث
سيماشوس
هرمزيدا
فيلكس الرابع
ميكا هاكينن
هنري ميلر
جوزيف ستيجلز
خوان ميرو
جون بون جوفي
مارك شاغال
جابر بن حيان
إدغار ديغا
أنطوان دو سانت-إيكسوبيري
فريدريش دورينمات
جان بيتر بالكنإنده
نوربرت فينر
ليندا هاميلتون
إريك ماريا ريمارك
بوريس سباسكي
فاتسلاف هافيل
ياروسلاف سيفرت
بيتر أوتول
فردريك سانغر
ميخائيل لومونوسوف
ميريل ستريب
جريتا جاربو
أنطوان لوران دو جوسيو
بيت ديفيس
جين فوندا
سيسي سبيسك
جون ستيث بمبرتون
باتريشا هايسميث
ألان شيبارد
بيتر لور
فانيسا رديغريف
فريدريش شيلر
جان أنويه
محمد علي كلاي
فيليب الخامس ملك إسبانيا
تشاك بولانيك
جاك كيلبي
ليام نيسون
موبوتو سيسيسيكو
إنجيبورج باخمان
جاكلين كينيدي
بيتر برويغيل البكر
جنجر روجرز
فراونهوفر
بروس ويليس
إينغه دي بروين
قسطنطين الحادي عشر
موريس
إي. إم. فورستر
بوريس غودونوف
موديست موسورسكي
بول غوغان
ياكوب بيرنولي
أولفا ميرال
برثولماوس
فريد أستير
إديث بياف
سيغورني ويفر
ماريا كالاس
لي كوان يو
لاوزي
يوهانس فلهلم ينسن
لورانس داريل
هنري رايدر هاجرد
باولو كويلو
غوستاف مالر
فرانكو موديلياني
جيانغ كينغ
جاك أوفنباخ
ألكسندر ليابونوف
ليو الأول
جراهام جرين
بيدرو الثالث ملك أراغون
أوسكار روميرو
جورج كليمانصو
بز ألدرن
فلاديمير كوماروف
لو شون
بيت سامبراس
كاثي فريمان
فون نجوين جياب
هارالد الخامس
فيليب بيتان
ماري جوزيه بيريس
رونالدو
مارك سبيتز
إيتشيرو سوزوكي
آنا أخماتوفا
جولدا مائير
أرنولد توينبي
ريتشارد فرانسيس برتون
ماريا موتولا
ألفونسو العاشر
جان برتران أريستيد
موريس غرين
دافني دو مورييه
يوزف بيوسودسكي
عوفرة حازة
أوجين أونيل
توباك أمارو
كارل لويس
كاميهاميها الأول
كين فوليت
بليناس الحكيم
بوريس كارلوف
ديفيد أوه سيلزنيك
ليون التاسع
هو تشي منه
فرانز ليست
ستيفن سيغال
ريتشارد شتراوس
ليونيل جوسبان
فارديناند بورشيه
مايك نيكولز
هيرودس الأول
جيسيكا لانغ
دافيد بن غوريون
إنريكو كاروسو
جورج بيزيه
إيسابيلا روسوليني
جون باريمور
مارتن شين
بول إيلوار
هيرو السكندري
فاي دوناوي
سوزان سارندون
آنا نيكول سميث
توني كرتيس
جيمي لي كرتيس
بيدرو دي فالديفيا
أغريباس الأول
آحاز
بوبي روبسون
مايكل جي فوكس
فريدريك الثاني (إمبراطور روماني مقدس)
فيرناندو كولور ميلو
تغلات بلاصر الثالث
تارح
بيوس السابع
جستين تيمبرلك
فيتوريو أميديو الثاني
فيتوريو أميديو الثالث
فرديناند الأول ملك بلغاريا
كارلو ألبيرتو
ألفونسو السادس ملك قشتالة
نيكولاس ستينو
رامون لول
نخاو الثاني
هربرت كتشنر
سيلينا
فيدياس
فيتوريو إمانويلي الثاني
بارتولومي دي لاس كاساس
فيكتور عمانويل الثالث
أومبرتو الثاني
دوناتيلو
كيرك دوغلاس
نابليون الأول
هنريك دام
أليسيا سيلفرستون
كارل التاسع
جوزيف جون طومسون
هنري باربوس
ديبي رينالدز
سيرانو دي برجراك
ماري تيدور ملكة فرنسا
لويس الحادي عشر ملك فرنسا
مارغريت ملكة إسكتلندا
جاك كارتييه
ألكسندر فون هومبولت
فرناندو الثالث ملك قشتالة
ألفونسو السابع
ألفريد بينيه
فرانسوا الثاني ملك فرنسا
هاينريش الأسد
كارلوس الخامس
إيفان الرابع
عيدي أمين
حافظ الأسد
فرانسوا دوفالييه
باتريك ستيوارت
بورفيريو دياز
إد جين
مانويل نورييغا
فياتشيسلاف ميخائيلوفيتش مولوتوف
ساتيندرا ناث بوز
جوني ديب
فرانثيسكو فاثكيث دي كورونادو
مارتن فروبيشر
ديفيد لين
ويليام دوق كامبريدج
أوتو سكورزيني
لويس أراغون
باربرا سترايساند
ميخائيل الثامن باليولوج
جانجنيهيسو
ألكسندر أليخين
أرمينيوس
سيمون ستيفين
فريدرخ الأول ملك بروسيا
أوجين يونسكو
فلورنس غريفيث جوينر
ماريون جونز
أنجيلا ميركل
غيدو فيسترفيله
كريستيان العاشر
كرويسوس
زانج زيي
مارين ميرسين
ساكسو غراماتيكوس
غابرييل فوري
فرانك ميلر
فريديريك أوغست بارتولدي
كارل فون أوسيتزكي
أماديو الأول
مريم العذراء
ساندرو بوتيتشيلي
توتيلا
إسحاق الثاني
إدموند هيلاري
كريستوفر ريف
إم. نايت شيامالان
لاريسا لاتينينا
فيرا تشاسلافسكا
باسيل الأول
جستين الثاني
هرقلوناس
نقفور الثاني
رومانوس الأول
يوحنا الثاني كومنين
ثيوفيلوس
أيرين أثينا
يوحنا الخامس باليولوج
يوحنا الثامن باليولوج
قسطنطين (بابا)
ناديا كومانيتشي
فيلم الكتوم
مايكل الثاني
مايكل مور
فرنر فون هايدنستام
جينا جيمسون
جورج جاموف
فالنتينيان الثالث
جراتيان
فالنتينيان الأول
فالنتينيان الثاني
هاري موليسش
بيدرو دي ألفارادو
أرسطرخس الساموسي
هارولد شيبمان
فردريك بانتنغ
مكسيميانوس
أرشيبالد هل
بطليموس الخامس عشر (قيصرون)
إرميا
ديكيوس
سنكا
أوغو كابيه
هيلاري پوتنام
الدوقة الكبرى أناستاسيا نيكولايفنا من روسيا
فولك برنادوت
خوان كارلوس الأول
أيتيوس
بول دوكا
هيبياس
نيكولاي ريمسكي كورساكوف
فالتر نيرنست
تشارلز التاسع ملك فرنسا
هنري الثاني ملك فرنسا
بيريو
هنري الثالث ملك فرنسا
جون هاننج سبيك
لودفيش الطفل
فيلكس مندلسون
ماكس فون سيدو
أنتونين دفورجاك
جون راسكن
شارل السابع ملك فرنسا
بونو
ألبرت، الأمير الزوج
لوي ألتوسير
جيوفاني دي فيرازانو
كبير
لويس الثالث عشر ملك فرنسا
فيليب الرابع ملك فرنسا
جون براون
لويس فيليب الأول
لويس دي كامويس
ناتالي وود
شارل السادس ملك فرنسا
دييغو فيلاثكيث
قورش الأصغر
فيليب السادس ملك فرنسا
جون الثاني ملك فرنسا
شارل الثامن ملك فرنسا
ماريو بوزو
لويس الثاني عشر ملك فرنسا
خوان أنطونيو سامارانش
غاسبار مونج
زين الدين زيدان
زينون (إمبراطور)
إيميليو بوتراغينيو
بريان بورو
كيفين ميتنيك
أبو بكر الرازي
جولي آندروز
لويس السادس ملك فرنسا
هارون الرشيد
ديفيد أتينبارا
يوسف إسلام
مايكل دوغلاس
أوما ثورمان
فرانشيسكو خينتو
روجر الثاني ملك صقلية
هارفي كيتل
هانس كريستيان غرام
ريف فون ويليامز
ويليام بيت الأصغر
فاليري جيسكار ديستان
ألفونس دوديه
أتالاريك
لويس الثامن ملك فرنسا
بندار
بيازي
شيغيرو مياموتو
إيجور تام
مانو شاو
نورودوم سيهانوك
لي دوك ثو
دين آتشيسون
جون فوستر دالاس
ألكسندر هيغ
وليام ويستمورلاند
روبرت ماكنامارا
ليف لانداو
هيلينا بونهام كارتر
بول كلي
جوليانا ملكة هولندا
بياتريكس ملكة هولندا
نيك دريك
الحسين بن طلال
شير
عثمان بن عفان
عمر بن الخطاب
أحمد ياسين
أوناس
أحمس الأول
هارولد ماكميلان
حامد قرضاي
ديفد كروكيت
راشيل كارسون
هوغو سانشيز
ويليام سيوارد
بيدرو الثاني
بيدرو الأول إمبراطور البرازيل
راينر فاسبيندر
ألفرد أدلر
غايوس ماريوس
أوليمبياس
توماس نيوكمان
جيمس بريسكوت جول
ملفل ديوي
تينا ترنر
هاينريش بول
إبامينونداس
فيرناندو أنريك كاردوسو
هيبوداموس
جورج سي سكوت
وليام أندرس
الملك بورس
تشارلز لندبرغ
نيف كامبل
هنري جيمس
ستينغ
كازوو إيشيغيرو
إرنست روم
بيونسي نولز
عليسة
بطليموس الثالث عشر
جيسيكا تاندي
ريكي مارتن
ديميتريوس الأول المقدوني
بطليموس الأول
بطليموس الثاني
بطليموس الرابع
بطليموس الخامس
مانفرد فون ريشتهوفن
أنسل آدمز
أوليفر هاردي
جوزف منجيل
أنطيوخوس الثالث العظيم
سلوقس الأول
بيرديكاس
مارغريت دوراس
لويس فرديناند سيلين
وينسر مكاي
نيك نولتي
إدوارد لي ثورندايك
مكسيم غوركي
الأب داميان
سيندي لوبر
أميليا إيرهارت
ريشيليو
نوما بومبيليوس
أوزي اوزبورن
جودي دينش
كاترينا الإسكندرانية
تيودور مومسن
محمد عمر
جيمس نايسميث
فيلهلم مايباخ
سيرجي كوروليوف
جيم كاري
إيمليانو زاباتا
تيري فوكس
أنطونيو من لشبونة
هربرت أسكويث
ديفيد إيرفينغ
غودفري هارولد هاردي
روبرت ميتشوم
شارل بيرو
جوزيف لوي لاغرانج
شلمنصر الثالث
بوسيدونيوس
نيل يونغ
جوزيف فاينس
هندريك أنتون لورنتس
سفين غوران إريكسون
توني آدمز
لويجي جالفاني
صن يات سين
هوارد زين
أليخاندرو توليدو
دوريس ليسينغ
سنوب دوغ
جون بريكنريدج
توماس أندروز هندريكس
جين كلود فان دام
أنتيغونوس الأول مونوفثالموس
بيرسيوس المقدوني
بريجيت من السويد
تشاو ين فات
هارولد بنتر
إخناتون
بول شارل مورفي
أحمد بن فضلان
أراتوس (شاعر)
فيليبو برونليسكي
نفرتيتي
بن ستيلر
موشيه دايان
روزاليند فرانكلين
ماتسوو باشو
ويليام جيمس
إيمانويل ليفيناس
إريكو مالاتيستا
أندريه كولموغوروف
شارل أزنافور
جون واطسون
جاك بريل
آن رادكليف
آرثر كلوكي
تشارلز جيتس دويز
فرانثيسكو دي أوريانا
كليوباترا الأولى
بطليموس السادس
كليوباترا الثانية
هيلاري سوانك
فواديسواف الأول
هاتي ماكدانيال
غوستاف دالين
أنطيوخوس الرابع
عمر الخيام
ألبرت ميكلسون
جان بيدل بوكاسا
يوهان هاينغيش لامبرت
كارل ويرستراس
إدجار كود
ريس ويذرسبون
ريتشارد برانسون
أرفو بارت
حملقار برقا
قيصر باييخو
أثانيسيوس كيرتشر
ليونيداس
سالي رايد
ليف سيمينوفيتش فيغوتسكي
حنة آرندت
فرانز فانون
جان بياجيه
أليكس الأول
نصرت فتح علي خان
جيانغ زيمين
أليكس هيلي
كاليماخوس
روبرت ميرتون
مايكل كولينز (سياسي أيرلندي)
مايكل كولينز (رائد فضاء)
جيمي لين سبيرز
هاكون ولي عهد النرويج
أنتيستنيس
غورجياس
ثيوفراستوس
عبد الله أوجلان
سينغمان ري
جانوس بولياي
فيليبي أمير أستورياس
ريكس هاريسون
لويس إيناسيو لولا دا سيلفا
سيرجي رخمانينوف
ديودورس
تشين شي هوانج
فريدرخ الثاني ملك بروسيا
كريستوف فيليبالد غلوك
فلاديمير كرامنيك
وليم فوكس تالبوت
جوني كارسون
فيديريكو غارثيا لوركا
سرجون الثاني
فيليب الخامس ملك مقدونيا
فلورنس نايتينجيل
كلاوس من هولندا
رافي شانكار
شتيفان تسفايغ
ويليام ألكسندر أمير أورانج
هوا جيو فينج
تيودور شتورم
ماركوس كلاوديوس مارسيليوس
بول عنقا
دنزل واشنطن
ريكاردو جياكوني
دانييل مكفادين
روبرت لوكاس جونيور
بيتر فان دن هوغنباند
إيزابيل أدجاني
ييف شرايبر
آريانوس
يوكيو ميشيما
أتال بيهاري فاجبايي
ك. ر. نارايانان
يوشكا فيشر
جاك بريفير
عبد الملك بن مروان
جورجو فازاري
روبرت هوفستاتر
جيمي بيج
ماكسيما أميرة هولندا
فيلهامينا ملكة هولندا
هنري كافنديش
مصطفى الثاني
جون فوربس ناش
جوليا لوي دريفوس
تينا فاي
آدم ساندلر
جورج أرمسترونغ كاستر
ستيف مارتن
روجر سبيري
بيل موري
وليم هوجرت
فرانشيسكو كافالي
هانز سلون
بينيتو خواريز
دييجو ريفيرا
غوستاف الرابع أدولف
جيري ساينفيلد
هاينرش هاينه
كارل السادس عشر غوستاف
كارل الثالث عشر
داني ديفيتو
كارل العاشر غوستاف
كارل الحادي عشر
كارل الثاني عشر
إريك الرابع عشر
يوهان الثالث
لاري ديفيد
سير هنري مورغان
ايمري كيرتيش
جون سنغر سارغنت
داني بويل
صوفيا كوفاليفسكايا
دوروثي هودجكن
صامويل هنتنجتون
أبو جعفر المنصور
ديزي بوترس
كلوثار الأول
بار لاغركفيست
أوغوست بيكارد
جارد دايموند
غوستاف هاينيمان
جوني هاليداي
سيلفيا ملكة السويد
يوسو ندور
تشارلز دوق أورليانز
بيير بورديو
ماكس شتيرنر
شون أستين
بيلاطس البنطي
زوسر
ديسيديريوس ملك اللومبارد
مايرون سكولز
جون كونستابل
أحمد زويل
شون بن
ماثيو أرنولد
ماكس إيوي
جون رولس
صوفي، كونتيسة وسكس
إدوارد، إيرل وسكس
آن (اميرة)
الأمير تشارلز
أندرو دوق يورك
إليزابيث باثوري
توماس كارليل
دونالد سثرلاند
بول جياماتي
ريتشي سامبورا
أوغست كونت
ويليام الثالث ملك هولندا
ليوش ياناتشيك
مادلين أولبرايت
يوهان شتراوس الابن
يوهان شتراوس الأب
إينغفار كامبراد
لال بهادور شاستري
ريتشارد هاريس
توشيرو ميفوني
نيقولاي غوغول
تاديوش كوسيوسكو
بدرجيخ سميتنا
كسرى الأول
قباد بن فيروز
كسرى الثاني
هرمز الأول
ماريا غوبرت-ماير
توكوغاوا يوشينوبو
إل غريكو
بيرو (فيلسوف)
يزدجرد بن بهرام
يزدجرد بن سابور
يزدجرد الثالث
بهرام بن سابور
بهرام الثاني
بهرام جور
شابور بن أردشير
شابور الثاني
شابور الثالث
أردشير الثاني
جورجوني
جورديان الثالث
جورديان الأول
كورديان الثاني
نرسي
رودولف فيرشو
رونالد فيشر
تسي آي لون
آرثر دو غوبينو
جيمس ماثيو باري
توسان لوفرتور
مادونا (مغنية)
إنريكو دي نيكولا
جين سيمونس
جون تشرشل، دوق مارلبورو الأول
نوتوريوس بي. آي. جي.
جيف بيزوس
بيتر توش
ياسين باي
لوسي لو
يويو ما
جيري يانغ
ويليام غودوين
ليلي توملن
فرديناند ماركوس
تشستر بنينجتون
جو هان
وليام بافين
نسيفور نيبس
حنة (أم مريم العذراء)
نينو روتا
روبرت ماندل
زينون الإيلي
خوان بونثي دي ليون
تيد بندي
برمهنسا يوغانندا
ألكسندر بورودين
ياروسلاف هايروفسكي
ألبير الثاني ملك بلجيكا
ابن عزرا
إدي آيزارد
جا رول
كيفين كوستنر
فيليب العربي
كريستينا أغيليرا
ساتيا ساي بابا
بالدوين الأول
كليمنس فون مترنيش
رمسيس الثالث
بلدوين الرابع
براندي نوروود
جوفيان
ستيف ماكوين
مانويل الأول ملك البرتغال
جاكي شان
جيوفاني سكيابارلي
إيف سان لوران
سابرامانين تشاندراسخار
إيزابيل أوبير
مارلينه ديتريش
بانشو فيا
جو بايدن
غي دي لوزينيان
مايك شينودا
براد ديلسون
داليدا
جان باتيست لامارك
لس بول
أندرو هكسلي
آرثر جيمس بلفور
جاي فيرهوفشتان
ناز
تريبونيانوس غالوس
إميليانوس
جورج ميد
أبو حامد الغزالي
آيرتون سينا
بيتر ستورمار
ميرابو
ليف إريكسون
جان بابتيست كولبير
فيليب الثالث ملك إسبانيا
جون سورل
كريستيان ديور
فيلبس
لوران غباغبو
نانسي بيلوسي
ري تشارلز
إرنست روسكا
أريثا فرانكلين
شيرلي ماكلين
إيان ثورب
سايمون بيج
ستيفي وندر
باولو مالديني
شاكيل أونيل
غالياتسو تشانو
بندكت الخامس عشر
بيوس الحادي عشر
بيوس الثامن
جورج كلينتون
ميشيل يوه
ديفيد الثاني ملك اسكتلندا
دنكان الأول
مارفين غاي
شمشون
جيمس الثالث ملك إسكتلندا
جيمس الثاني ملك إسكتلندا
إيفان الأول
إيفان الخامس
دميتري دونسكوي
فاسيلي الثاني
إيفان الثالث
فيودر الثالث
بيتر الثاني
إيفان السادس
بافل الأول
جوزيف الثاني
آيس كيوب
كارلوس سانتانا
فرانسيس الأول
ألبرتو فوجيموري
هيلانة
ليوبولد الثاني إمبراطور الرومانية المقدسة
كوين لطيفة
ليوبولد الأول (إمبراطور روماني مقدس)
فيليب الرابع ملك إسبانيا
جوديث بتلر
جون موسز براونينغ
سارة مكلوكلين
توماس بايز
تيجران بتروسيان
بيتر كارل فابرجيه
إيما واتسون
شيفاجي
كارلوس الرابع
كارلوس الثالث ملك إسبانيا
دونا سمر
بافنوتي تشيبيشيف
فلهلم فيين
روبن غيب
ويلي نيلسون
سيرج تانكيان
شافو أودادجيان
مونتغومري كليفت
إيمي نويثر
جونج لي
جورج فورمان
كريستيان الثالث
كاثرين زيتا جونز
فرديناند الأول إمبراطور الرومانية المقدسة
فرناندو الأول ملك ليون و قشتالة
فرديناند الثاني (إمبراطور روماني مقدس)
فرديناند الثالث إمبراطور الرومانية المقدسة
كارل السادس (إمبراطور روماني مقدس)
فيلهلم الأول
فريدرش الثالث
هو جينتاو
ألفونسو الثامن ملك قشتالة
خوانا الأولى
فيليب الأول ملك قشتالة
شارل الجريء
ماري دوقة بورغونيا
أغوستين دي إتوربيدي
هيو لوري
بستا رايمز
فريدريك التاسع ملك الدنمارك
مايكل ديل
دين مارتن
بلانكا من قشتالة
الولد بيلي
ستانلي ماثيوس
بوفانو بيل
إيدي ميركس
جين آدمز
شون كومز
باراسيلسوس
بيكو ديلا ميراندولا
بي بي كينغ
فرانز بيكنباور
جون فيليب رامو
أنتون روبنشتاين
ثيوقريطس
الثور الجالس
ألكسندر نيفيسكي
جان آرب
كيم داي جونغ
إليزابيث إمبراطورة النمسا
إنريكو داندولو
خوان الثاني ملك قشتالة
جول ريميه
دانيال رادكليف
فيل كولنز
جون الرابع ملك البرتغال
فرناندو الأول ملك البرتغال
جو فريزر
ريتشارد جير
أوكتاف ميربو
بالدور فون شيراخ
تيموثي دالتون
كيم جونغ إل
تيتيان
جورج دانتون
ميريي ماتيو
مارك توين
هيهاتشيرو توغو
جون ويليامز
بالميرستون
ديانا روس
ويل سميث
سادي كارنو (رئيس فرنسي)
لوتريامون
رينيه الثالث من موناكو
أرسطو أوناسيس
ميكيس ثيودوراكيس
أوديسو إليتيس
جيورجيوس سفريس
آرثر رامبو
ني وين
هانز بليكس
مستيسلاف روستروبوفيتش
بول فرلان
كريستوف كيشلوفسكي
سام والتون
كريس واتسون
ميرتشا إلياده
لويس فيرن
ما يينغ جيو
تحتمس الثالث
ترومان كابوت
فلاديمير أشكنازي
فريدريك راينس
جولي دلبي
لورنس فيشبورن
آن روبير جاك تيرجو
الكسندر بروخروف
دوين جونسون
زانج ييمو
الفريد مويسيو
ألكسندر لوكاشينكو
تيي
نفرتاري
ألكسندر دوماس الابن
إيليا ميتشنيكوف
فيلي فالو
إدوين ماكميلان
ألكسندر دوما
أشعيا برلين
برايان كلوف
غي ديبور
ايغي بوب
نيد كيلي
ميا هام
يوغرطة
شوارتز شيلد
جودفري
بطرس الناسك
آنا كومنينا
ريمون تولوز
بوهيموند الأول
فولك ملك بيت المقدس
جوزيف ميريك
ميلاني كلاين
روبرت جيسكارد
روجر الأول كونت صقلية
إيزابيل أيندي
كوبا غودينغ جونير
كونداليزا رايز
ماركوس فوريوس كاميلوس
أوليغ النبوي
ريتشل وايز
روبرت غرينت
ديني ساسو نغيسو
ييب مان
جورج كارلين
جورج كلوني
بيل كوسبي
إدغار كايس
سيجونغ العظيم ملك جوسون
جاكلين بيسيه
ديفيد بوريناز
إيميلي ديكنسون
تشاد كروجر
روزاموند بايك
هانز زيمر
جورج غوردجييف
إدوارد نورتون
ميلا جوفوفيتش
أكسيلي غالن كاليلا
بن أفليك
لوثر الأول
جيول
مانسا موسى
بيلي بويد
كاسيوس ديو
لوداكريس
كيت بلانشيت
ستانلي بروسينر
قسطنطين الثاني
بول ملك اليونان
جورج الثاني ملك اليونان
قسطنطين الأول ملك اليونان
ألكسندر الأول ملك اليونان
منغستو هيلا مريام
جواو رودريغيز كابريلو
ميناندير
مانويل كويزون
كاميلا دوقة كورنوال
دوغلاس هايد
توماس ستامفورد رافلز
لورنزو جبرتي
إيما تومسون
غيرد فون رونتشتيت
بيتر بينيسن
لازلو باب
فرانسيس هودسون برنيت
روبرت دوفال
بوب هوب
سالوست
إيرنست بورغنين
جيمس ميلنر
مارثا واشنطن
بابلو إسكوبار
جوفاني باتيستا بيرانيزي
آلان آركين
جاكوبو بيري
رايان أونيل
آلان جرينسبان
ميناموتو نو يوريتومو
ريتشارد كرايتشك
فلاديمير ماياكوفسكي
غاستون ليرو
موريس ماترلينك
فريدا كاهلو
سامانثا سميث
جورج كوفييه
أولافور راغنار غريمسون
أكتافيو باث
تشاك نوريس
روبرت كابا
فريدرش هولدرلين
جانيز درنوفسيش
جي-زي
كارلوس الثاني ملك إسبانيا
غليندا جاكسون
هونغوو
عامر خان
تيوبالت فون بتمان هولفيغ
يوريكو غاسبار دوترا
إيزي إي
توبي ماغواير
تيوفيلو ستيفنسون
بوني هنت
ماريو فارغاس يوسا
ريكي جيرفيه
مواي كيباكي
جولي كرستي
هانك ويليامز
فرنسوا مورياك
أندريه توبوليف
مايكل جامبون
جون هيوم
ألدو مانوتسيو
توماسو كامبانيلا
فيجو مورتينسين
إليجاه وود
جوستاف لوبون
قالب:ملوك الأردن
هيريت ستاو
إيثان هوك
بوب هوسكينز
كاسندر
فيليبوس الثالث المقدوني
بيير سيسيل بوفيس دي شافان
بول فون هايس
جون هرت
جان هنري فابر
إيفان بونين
كرتس مايفيلد
إيتا جيمس
مارتي أهتيسآري
كووستي كاليو
كارل غوستاف إميل مانرهايم
ماونو كويفيستو
يوهو كوستي بآسيكيفي
لاوري كريستيان ريلاندر
ريستو روتي
كآرلو يوهو ستولبيرغ
بير إفيند سفينهوفد
ميكا فالتري
شتيفي غراف
دومينيك دو فيلبان
كارل بيرسون
فريدريش الخامس ناخب بالاتينات
سيرينا ويليامز
وليام جيلبرت
نايل دياموند
هانز ألففين
سيروس فانس
نيكولا بوالو
جيامباتيستا فيكو
البارون مونشهاوزن
إنيغو جونز
لوقيان السميساطي
دانيال كانمان
آفريل لافين
توماس سانكارا
الفيكونت دوشاتوبريان
بيرل بوك
سليمان ديميريل
ديفيد هاسيلهوف
فرديناند الأول إمبراطور النمسا
جوانغ زي
جون إدواردز
توماس موستر
عمر برادلي
وو شتيان
بيير بول
ماهاليا جاكسون
نت كينغ كول
ألان كارديك
بريتاني ميرفي
ستيفي راي فوغن
مات ديمون
سلافوي جيجك
أثينايوس
فرانكي مونيز
ألفرد دي موسيه
جان جينيه
فينوس ويليامز
كريستوفر واكن
غوين ستيفاني
جون رسل
ديسيبالوس
ويليام شتاينيتز
سيسل رودس
أرتوري فيرتانن
ألكسس كيفي
كريس كريستوفيرسن
هيلينا بتروفنا بلافاتسكي
إسحاق شامير
إيهود باراك
بيير باولو بازوليني
ديان فوسي
فيث هيل
إسحاق بيرلمان
بن كينغسلي
لودنيج كويد
ف. موراي أبراهام
ويليام هورت
ليل وين
جيمس غارنر
إم سي هامر
جيمس وودز
باولينا روبيو
رون بول
فيليب دوق برابانت
فيلهلم فريك
لادزارو سبالانساني
هانس كريبس
لويس بونويل
ماركيز روكنغهام
جلوريا إستيفان
ماكس دلبروك
بيلي ري سايرس
سونيا غاندي
ديلاكروا
تريسي شابمان
كارل ماي
جورج كورزون
روبرت كلايف
ليزا كودرو
ديفيد شويمر
ألكسندر كولتشاك
قسطنطين العاشر دوكاس
خوزيه كابابلانكا
كولين فيرث
هيذر جراهام
ال ال كول جي
ليونيل ريتشي
جاكوبو أربينز غوزمان
ألفونس دو لامارتين
ميغيل هيدالغو إي كوستيا
هيو غرانت
جول بورديه
هوغو ويفنغ
هيدي لامار
إدوارد جيمس أولموس
كريتيان دي تروا
دانيال دي لويس
سام شيبارد
روبرت داوني جونير
ليلي سوبيسكي
عيسو
جون آموس كومينيوس
إيان هولم
جومو كينياتا
كريس روك
أركسيلاوس
كليانثس
هنري بلهام
جيوفري راش
رالف فاينس
وودي هارلسون
خافيير باردم
إد هاريس
يعقوب بن زبدي
توم ويلكينسون
راؤول ولنبرغ
محمد البرادعي
زينوقراط
غبريالا ميسترال
غلوريا سوانسون
بيتر مدور
ليوبولد سنغور
جيرد مولر
لاري إليسون
كاسبر هاوزر
هارولد لويد
إلياس جيمس خوري
لودفيغ تيك
تيم رايس
زولتان كودالي
دنيس غابور
أيومي هاماساكي
دارين أرنوفسكي
ميغيل دي أونامونو
بلشاصر
فرانتس مارك
جيف بوكلي
روزا لوكسمبورغ
فرديناند فون زبلين
ميشال ويلبك
روجر واترز
ديفيد بلتيمور
كوندياك
أريتومو ياماغاتا
ماسايوشي ماتسوكاتا
شيغينوبو أوكوما
هاياتو إيكيدا
إيساكو ساتو
كاكويه تاناكا
ياسوهيرو ناكاسونه
بنيامين طومسون
جيمس تشادويك
رولان بارت
فريتز هابر
كارل بوش
كريستيان الأول ملك الدنمارك
روجر مور
هيذر لوكلير
دودلي هيرشباك
جورج غرنفيل
كارل مانهايم
أبو نصر محمد الفارابي
رودولف كلاوزيوس
إدموند جيرالد براون
أحمد زوغو
جون مالكوفيتش
أليك دوغلاس هوم
فيرنون سميث
توماس فريدمان
أوربان لوفيريي
جون كوش آدامز
أمين معلوف
داريو فو
جيمس بالدوين
إريك بانا
كايتانو فيلوسو
جيلبرتو جيل
هيتور فيلا-لوبوس
بياتريس يورك
ايلان رامون
لودفيغ فيورباخ
سيكستوس إمبيريكوس
آرثر أمير ويلز
جون رايز-ديفيس
كريستوفر نولان
غاي بيرس
مراد الخامس
بيرت رينولدز
إرنست تسيرميلو
أرونداتي روي
خواكين فينيكس
تشيزري لومبروزو
ريو فرديناند
جِدّو كريشنامورتي
لانا تيرنر
نيوت جينجريتش
جوسيه سارني
سيرغي بوندارتشوك
إميل فيرهارن
بيرت باكاراك
ويل فيرل
نادين غورديمير
تولوس هوستيليوس
ألفريد فون شيلفن
بيلا كون
سيمون فايل
فالنتينو روسي
ستيف بوسيمي
جون لو كاريه
إريش فون مانشتاين
بيرس بروسنان
يوهن لودفيك بركهارت
أيفان تورغينيف
إيفند يونسون
جون بيربونت مورجان
جورج سيمنون
